wl_nm,b,g,r,re,nir
825,0.00061,0.00195,0.00229,0.00327,0.79115
826,0.00055,0.00263,0.00246,0.00462,0.78879
827,0.00073,0.00176,0.00262,0.00311,0.79170
828,0.00082,0.00219,0.00306,0.00225,0.79179
829,0.00073,0.00270,0.00308,0.00362,0.79551
830,0.00075,0.00259,0.00149,0.00275,0.80021
831,0.00133,0.00321,0.00270,0.00256,0.80560
832,0.00086,0.00359,0.00193,0.00564,0.80795
833,0.00053,0.00301,0.00213,0.00331,0.81346
834,0.00057,0.00106,0.00286,0.00454,0.81715
835,0.00023,0.00115,0.00213,0.00000,0.81933
836,0.00117,0.00205,0.00317,0.00513,0.82214
837,0.00060,0.00081,0.00457,0.00494,0.82331
838,0.00065,0.00105,0.00358,0.00274,0.82373
839,0.00136,0.00181,0.00210,0.00585,0.82611
840,0.00100,0.00191,0.00201,0.00230,0.82682
841,0.00090,0.00185,0.00292,0.00129,0.82198
842,0.00046,0.00184,0.00238,0.00000,0.81550
843,0.00075,0.00240,0.00196,0.00079,0.81096
844,0.00081,0.00250,0.00419,0.00053,0.80570
845,0.00057,0.00183,0.00183,0.00431,0.79884
846,0.00073,0.00233,0.00212,0.00192,0.79263
847,0.00034,0.00288,0.00184,0.00165,0.78499
848,0.00125,0.00237,0.00261,0.00055,0.77564
849,0.00114,0.00233,0.00359,0.00000,0.76935
850,0.00080,0.00315,0.00299,0.00057,0.76020
851,0.00224,0.00471,0.00429,0.00077,0.75175
852,0.00099,0.00495,0.00367,0.00176,0.74429
853,0.00167,0.00495,0.00425,0.00256,0.74024
854,0.00130,0.00437,0.00485,0.00071,0.73358
855,0.00210,0.00455,0.00308,0.00221,0.73181
856,0.00154,0.00343,0.00442,0.00233,0.71960
857,0.00111,0.00431,0.00463,0.00188,0.70933
858,0.00101,0.00343,0.00426,0.00078,0.69360
859,0.00108,0.00321,0.00328,0.00243,0.67461
860,0.00247,0.00438,0.00341,0.00079,0.64827
861,0.00222,0.00411,0.00407,0.00075,0.62336
862,0.00149,0.00488,0.00474,0.00166,0.58390
863,0.00146,0.00344,0.00366,0.00181,0.53465
864,0.00262,0.00352,0.00424,0.00077,0.47065
865,0.00110,0.00481,0.00357,0.00228,0.39504
866,0.00168,0.00412,0.00365,0.00217,0.34398
867,0.00125,0.00430,0.00450,0.00100,0.26818
868,0.00208,0.00357,0.00492,0.00070,0.20116
869,0.00126,0.00322,0.00378,0.00169,0.14808
870,0.00272,0.00466,0.00393,0.00068,0.10909
871,0.00089,0.00392,0.00492,0.00237,0.08880
872,0.00255,0.00396,0.00399,0.00206,0.06566
873,0.00208,0.00398,0.00333,0.00153,0.04929
